                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 7.0235,                 4.7792,                 4.1612,                0.00043,                0.00837,                0.00035,                0.00012,                 7.3757,                 3.8954,                 3.6734,               0.067117,              0.0001553,              0.0001553,             1.7163e+09,                   3898
                      2,                 6.9167,                 3.9456,                  3.472,                0.00469,                 0.0681,                0.00504,                0.00198,                 6.6108,                 3.1722,                  3.092,               0.033933,             0.00030427,             0.00030427,             1.7163e+09,                   3925
                      3,                  6.475,                 3.3902,                 2.9962,                0.05093,                 0.0428,                0.01091,                0.00288,                 6.1697,                 2.9237,                 2.7129,             0.00074046,             0.00044548,             0.00044548,             1.7163e+09,                   3953
                      4,                 6.0097,                 2.9778,                 2.6534,                0.05683,                0.07038,                0.01988,                0.00557,                 5.6522,                 2.6896,                 2.4277,             0.00043516,             0.00043516,             0.00043516,             1.7163e+09,                   3982
                      5,                 5.3242,                 2.6547,                 2.3977,                0.13347,                0.10109,                0.04623,                0.01377,                 5.0922,                 2.3635,                 2.1829,             0.00043516,             0.00043516,             0.00043516,             1.7163e+09,                   4011
                      6,                 4.8646,                 2.4516,                 2.1782,                0.18504,                0.11772,                0.06978,                0.02226,                 4.6772,                  2.126,                 2.0257,             0.00042353,             0.00042353,             0.00042353,             1.7163e+09,                   4041
                      7,                 4.5788,                 2.3054,                 2.0461,                0.52844,                0.13996,                0.08468,                0.02857,                 4.3621,                  2.033,                 1.8864,             0.00041189,             0.00041189,             0.00041189,             1.7163e+09,                   4070
                      8,                 4.3362,                 2.2054,                 1.9615,                0.54296,                0.15308,                0.10327,                0.03577,                 4.1509,                 1.9363,                   1.81,             0.00040026,             0.00040026,             0.00040026,             1.7163e+09,                   4099
                      9,                 4.1937,                   2.13,                 1.8852,                0.56873,                0.16994,                0.12327,                0.04729,                 3.9971,                 1.8814,                 1.7565,             0.00038863,             0.00038863,             0.00038863,             1.7163e+09,                   4128
                     10,                 4.0771,                 2.0779,                 1.8275,                0.58126,                0.17681,                0.13446,                0.05625,                 3.9165,                 1.8249,                 1.7276,             0.00037699,             0.00037699,             0.00037699,             1.7163e+09,                   4157
                     11,                 3.9354,                 2.0135,                 1.7754,                0.59729,                0.18225,                0.14841,                0.06274,                 3.8288,                 1.7885,                 1.6666,             0.00036536,             0.00036536,             0.00036536,             1.7163e+09,                   4186
                     12,                 3.8159,                 1.9628,                 1.7262,                 0.6351,                0.18303,                0.16723,                0.07343,                 3.7057,                 1.7248,                 1.6433,             0.00035372,             0.00035372,             0.00035372,             1.7163e+09,                   4215
                     13,                 3.7331,                 1.9219,                 1.6872,                0.62818,                  0.188,                0.16738,                0.07376,                 3.6667,                  1.717,                 1.6115,             0.00034209,             0.00034209,             0.00034209,             1.7163e+09,                   4244
                     14,                 3.6427,                 1.8767,                 1.6485,                0.62735,                0.19735,                0.17663,                0.07996,                 3.5432,                 1.6678,                 1.5782,             0.00033046,             0.00033046,             0.00033046,             1.7163e+09,                   4273
                     15,                 3.5829,                 1.8485,                 1.6271,                0.63577,                0.20101,                 0.1885,                0.08489,                 3.4722,                 1.6509,                 1.5395,             0.00031882,             0.00031882,             0.00031882,             1.7163e+09,                   4302
                     16,                 3.5149,                 1.8148,                 1.5995,                  0.635,                0.20785,                0.19707,                0.08984,                 3.3891,                 1.6088,                 1.5222,             0.00030719,             0.00030719,             0.00030719,             1.7163e+09,                   4331
                     17,                  3.437,                 1.7825,                 1.5701,                0.65313,                0.20951,                0.20498,                0.09443,                 3.3484,                  1.595,                 1.5044,             0.00029555,             0.00029555,             0.00029555,             1.7163e+09,                   4360
                     18,                 3.3984,                 1.7594,                 1.5609,                0.64245,                0.21504,                0.20793,                0.09493,                 3.3013,                 1.5647,                 1.4922,             0.00028392,             0.00028392,             0.00028392,             1.7163e+09,                   4389
